"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","population","TE","BH","signif"
"1360",11701.7047229054,-0.0031317210496264,0.0908049967214754,-0.0344884220329006,0.97248767473655,0.999945529425441,"chicharo vs makindu","1360",0.999945529425441,FALSE
"1731",491.837732540399,-0.0329628620428509,0.1064220040571,-0.309737279756214,0.756760750810738,0.999945529425441,"chicharo vs makindu","1731",0.999945529425441,FALSE
"17.6",269.316735453615,0.0196161470753349,0.108257779150774,0.181198498890459,0.856211772811906,0.999945529425441,"chicharo vs makindu","17.6",0.999945529425441,FALSE
"297",15295.019518507,0.00649646929376977,0.0974089955710183,0.0666927038482125,0.946826342866765,0.999945529425441,"chicharo vs makindu","297",0.999945529425441,FALSE
"3S18",2353.77248610504,-0.0246230006737595,0.0950170000885693,-0.259143107557672,0.795524825479782,0.999945529425441,"chicharo vs makindu","3S18",0.999945529425441,FALSE
"412",10881.6176692079,0.00421756707294686,0.0821901670275257,0.0513147402600409,0.959074722550212,0.999945529425441,"chicharo vs makindu","412",0.999945529425441,FALSE
"ACCORD2",2934.86647549315,-0.0080273741387895,0.0981599636825402,-0.0817784954031857,0.934822856967662,0.999945529425441,"chicharo vs makindu","ACCORD2",0.999945529425441,FALSE
"ACCORD2_I-INT:ACCORD2_LTR",1284.98009518486,0.0103109121359868,0.0913479298281498,0.112875159353741,0.910129530412342,0.999945529425441,"chicharo vs makindu","ACCORD2_I-INT:ACCORD2_LTR",0.999945529425441,FALSE
"ACCORD2_I-INT",1339.8304555958,0.00947951983798405,0.113074076447512,0.0838345988382615,0.933187938942612,0.999945529425441,"chicharo vs makindu","ACCORD2_I-INT",0.999945529425441,FALSE
"ACCORD2_LTR:ACCORD2_I-INT",951.439333551504,0.000682785314539765,0.101183036180901,0.00674802160827671,0.99461589860438,0.999945529425441,"chicharo vs makindu","ACCORD2_LTR:ACCORD2_I-INT",0.999945529425441,FALSE
"ACCORD2_LTR",226.036633060422,-0.00282283358255625,0.106838311829582,-0.0264215479842002,0.978921107342254,0.999945529425441,"chicharo vs makindu","ACCORD2_LTR",0.999945529425441,FALSE
