"experiment" "submission" "study" "sample" "run"
"1" "SRX140503" "SRA051611" "SRP012167" "SRS308865" "SRR479052"
"2" "SRX140504" "SRA051611" "SRP012167" "SRS308866" "SRR479053"
"3" "SRX140505" "SRA051611" "SRP012167" "SRS308867" "SRR479054"
"4" "SRX140506" "SRA051611" "SRP012167" "SRS308868" "SRR479055"
"5" "SRX140507" "SRA051611" "SRP012167" "SRS308869" "SRR479056"
"6" "SRX140508" "SRA051611" "SRP012167" "SRS308870" "SRR479057"
"7" "SRX140509" "SRA051611" "SRP012167" "SRS308871" "SRR479058"
"8" "SRX140510" "SRA051611" "SRP012167" "SRS308872" "SRR479059"
"9" "SRX140511" "SRA051611" "SRP012167" "SRS308873" "SRR479061"
"10" "SRX140511" "SRA051611" "SRP012167" "SRS308873" "SRR479060"
"11" "SRX140512" "SRA051611" "SRP012167" "SRS308874" "SRR479062"
"12" "SRX140513" "SRA051611" "SRP012167" "SRS308875" "SRR479064"
"13" "SRX140513" "SRA051611" "SRP012167" "SRS308875" "SRR479063"
"14" "SRX140514" "SRA051611" "SRP012167" "SRS308876" "SRR479065"
"15" "SRX140515" "SRA051611" "SRP012167" "SRS308877" "SRR479066"
"16" "SRX140516" "SRA051611" "SRP012167" "SRS308878" "SRR479067"
"17" "SRX140517" "SRA051611" "SRP012167" "SRS308879" "SRR479068"
"18" "SRX140518" "SRA051611" "SRP012167" "SRS308880" "SRR479069"
"19" "SRX140519" "SRA051611" "SRP012167" "SRS308881" "SRR479070"
"20" "SRX140520" "SRA051611" "SRP012167" "SRS308882" "SRR479071"
"21" "SRX140521" "SRA051611" "SRP012167" "SRS308883" "SRR479072"
"22" "SRX140522" "SRA051611" "SRP012167" "SRS308884" "SRR479073"
"23" "SRX140523" "SRA051611" "SRP012167" "SRS308885" "SRR479074"
"24" "SRX140523" "SRA051611" "SRP012167" "SRS308885" "SRR479075"
"25" "SRX140524" "SRA051611" "SRP012167" "SRS308886" "SRR479076"
"26" "SRX140525" "SRA051611" "SRP012167" "SRS308887" "SRR479077"
"27" "SRX140525" "SRA051611" "SRP012167" "SRS308887" "SRR479078"
